Name,Price,Sold,Date_Crawl,Link_Item
Áo Polo Nam Cổ Trụ Logo Nam Hàng Loại 1. Vải Thông Thoáng Form Suông,59.5,168,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-C%E1%BB%95-Tr%E1%BB%A5-Logo-Nam-H%C3%A0ng-Lo%E1%BA%A1i-1-Va%CC%89i-Th%C3%B4ng-Thoa%CC%81ng-Form-Su%C3%B4ng-i.118350948.8017580533?sp_atk=42b5ea2d-5afd-46b3-b879-f709cab193eb&xptdk=42b5ea2d-5afd-46b3-b879-f709cab193eb
Áo thun nam áo polo nam có cổ ngắn tay trơn chất cotton co dãn thoáng mát dáng basic PL3501,60.000 - 220.000,683,03/12/2022,https://shopee.vn/%C3%81o-thun-nam-%C3%A1o-polo-nam-c%C3%B3-c%E1%BB%95-ng%E1%BA%AFn-tay-tr%C6%A1n-ch%E1%BA%A5t-cotton-co-d%C3%A3n-tho%C3%A1ng-m%C3%A1t-d%C3%A1ng-basic-PL3501-i.470249086.4992312819?sp_atk=c89e4f9f-2959-4c5e-ac6a-1bea230ff2f2&xptdk=c89e4f9f-2959-4c5e-ac6a-1bea230ff2f2
Áo thun nam áo polo nam cổ bẻ tay ngắn chất thun cotton co dãn thoáng mát kiểu dáng hàn quốc PL3502,60.000 - 220.000,502,03/12/2022,https://shopee.vn/%C3%81o-thun-nam-%C3%A1o-polo-nam-c%E1%BB%95-b%E1%BA%BB-tay-ng%E1%BA%AFn-ch%E1%BA%A5t-thun-cotton-co-d%C3%A3n-tho%C3%A1ng-m%C3%A1t-ki%E1%BB%83u-d%C3%A1ng-h%C3%A0n-qu%E1%BB%91c-PL3502-i.470249086.7492328126?sp_atk=a714d590-f189-4b60-b0c9-81cb26f5fb6c&xptdk=a714d590-f189-4b60-b0c9-81cb26f5fb6c
Áo Polo Nam cổ trụ .cá sấu cao cấp form chuẩn. thiết kế phong cách sang trọng LUD.MEN polo,60,140,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-c%E1%BB%95-tr%E1%BB%A5-c%C3%A1-s%E1%BA%A5u-cao-c%E1%BA%A5p-form-chu%E1%BA%A9n-thi%E1%BA%BFt-k%E1%BA%BF-phong-c%C3%A1ch-sang-tr%E1%BB%8Dng-LUD.MEN-polo-i.8015732.8658008108?sp_atk=ca401099-7602-4332-b461-79b5b7bcfc2a&xptdk=ca401099-7602-4332-b461-79b5b7bcfc2a
Áo Thun Cặp Nam Nữ Có Cổ Chất Đẹp Nhiều Mẫu Cá Tính,64.000 - 84.500,6100,03/12/2022,https://shopee.vn/%C3%81o-Thun-C%E1%BA%B7p-Nam-N%E1%BB%AF-C%C3%B3-C%E1%BB%95-Ch%E1%BA%A5t-%C4%90%E1%BA%B9p-Nhi%E1%BB%81u-M%E1%BA%ABu-C%C3%A1-T%C3%ADnh-i.94029005.2204917245?sp_atk=c5b10b03-67e1-423c-bcbc-1e92b88a1a6e&xptdk=c5b10b03-67e1-423c-bcbc-1e92b88a1a6e
Áo Polo Odin - Áo Polo Đẹp,65,55,03/12/2022,https://shopee.vn/%C3%81o-Polo-Odin-%C3%81o-Polo-%C4%90%E1%BA%B9p-i.807592281.18248381640?sp_atk=064932bb-9584-4e5b-87bb-27e9e2efd875&xptdk=064932bb-9584-4e5b-87bb-27e9e2efd875
[ CÓ ÁO CHO NGƯỜI BỰ CON ] Áo Thun Trắng Nam,68.000 - 83.000,146,03/12/2022,https://shopee.vn/-C%C3%93-%C3%81O-CHO-NG%C6%AF%E1%BB%9CI-B%E1%BB%B0-CON-%C3%81o-Thun-Tr%E1%BA%AFng-Nam-i.124036173.4502619491?sp_atk=891c8e4c-ecea-46ac-8ea4-701816f4ea79&xptdk=891c8e4c-ecea-46ac-8ea4-701816f4ea79
Áo Polo Nam Cổ Bẻ Thun Basic Cộc Tay Chất Cotton Co Dãn Thoáng Mát Phong Cách Trẻ Trung Thời Trang Mixxno.1TOP NAM 230V1,69,63,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-C%E1%BB%95-B%E1%BA%BB-Thun-Basic-C%E1%BB%99c-Tay-Ch%E1%BA%A5t-Cotton-Co-D%C3%A3n-Tho%C3%A1ng-M%C3%A1t-Phong-C%C3%A1ch-Tr%E1%BA%BB-Trung-Th%E1%BB%9Di-Trang-Mixxno.1TOP-NAM-230V1-i.10916771.20108049743?sp_atk=c5d47775-1138-4754-a7dd-9b19fb79677a&xptdk=c5d47775-1138-4754-a7dd-9b19fb79677a
Áo Polo Nam Đẹp Cao Cấp Thời Trang Chất Thun Cá Sấu Co Giãn VESCA E10,69,507,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-%C4%90%E1%BA%B9p-Cao-C%E1%BA%A5p-Th%E1%BB%9Di-Trang-Ch%E1%BA%A5t-Thun-C%C3%A1-S%E1%BA%A5u-Co-Gi%C3%A3n-VESCA-E10-i.364598436.8205962348?sp_atk=270988fb-1f8e-4d6d-9cc7-d2723b635532&xptdk=270988fb-1f8e-4d6d-9cc7-d2723b635532
Áo polo nam GUNNO vải cá sấu thấm hút nhanh bền màu không nhăn co giãn tốt,69,51,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-GUNNO-v%E1%BA%A3i-c%C3%A1-s%E1%BA%A5u-th%E1%BA%A5m-h%C3%BAt-nhanh-b%E1%BB%81n-m%C3%A0u-kh%C3%B4ng-nh%C4%83n-co-gi%C3%A3n-t%E1%BB%91t-i.807276554.13395597237?sp_atk=c7884dab-bd22-4ef8-b4c5-dd8e955a0dc6&xptdk=c7884dab-bd22-4ef8-b4c5-dd8e955a0dc6
Áo Polo Nam Nữ Đẹp Có Cổ Cao Cấp Vải Lacoste Cotton Ngắn Tay,69,140,03/12/2022,https://shopee.vn/%C3%81o-Polo-Nam-N%E1%BB%AF-%C4%90%E1%BA%B9p-C%C3%B3-C%E1%BB%95-Cao-C%E1%BA%A5p-V%E1%BA%A3i-Lacoste-Cotton-Ng%E1%BA%AFn-Tay-i.118498171.8643609385?sp_atk=93644a42-cdbd-491f-a4ef-539a2685e12b&xptdk=93644a42-cdbd-491f-a4ef-539a2685e12b
Áo polo nam nữ cao cấp .Áo cổ trụ cá sấu poly chất vải mát mịn dày dặn thấm hút mồ hôi co giãn thoải mái .áo công sở,75,457,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-n%E1%BB%AF-cao-c%E1%BA%A5p-%C3%81o-c%E1%BB%95-tr%E1%BB%A5-c%C3%A1-s%E1%BA%A5u-poly-ch%E1%BA%A5t-v%E1%BA%A3i-m%C3%A1t-m%E1%BB%8Bn-d%C3%A0y-d%E1%BA%B7n-th%E1%BA%A5m-h%C3%BAt-m%E1%BB%93-h%C3%B4i-co-gi%C3%A3n-tho%E1%BA%A3i-m%C3%A1i-%C3%A1o-c%C3%B4ng-s%E1%BB%9F-i.188515749.4218492972?sp_atk=540583dc-9410-4a02-99a3-ce8f071451c5&xptdk=540583dc-9410-4a02-99a3-ce8f071451c5
Áo polo nam Hamino 3 màu trơn vải cotton co giãn dáng công sở slimfit hơi ôm trẻ trung,75,78,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-Hamino-3-m%C3%A0u-tr%C6%A1n-v%E1%BA%A3i-cotton-co-gi%C3%A3n-d%C3%A1ng-c%C3%B4ng-s%E1%BB%9F-slimfit-h%C6%A1i-%C3%B4m-tr%E1%BA%BB-trung-i.237315589.4178514317?sp_atk=d001e2fb-0e69-4235-81f1-52cdf3e6550e&xptdk=d001e2fb-0e69-4235-81f1-52cdf3e6550e
{ ẢNH THẬT } ÁO THUN ĐỒNG PHỤC POLO NAM NỮ- NHÓM LỚP GIÁ RẺ TẬN XƯỞNG,75,817,03/12/2022,https://shopee.vn/-%E1%BA%A2NH-TH%E1%BA%ACT-%C3%81O-THUN-%C4%90%E1%BB%92NG-PH%E1%BB%A4C-POLO-NAM-N%E1%BB%AE-NH%C3%93M-L%E1%BB%9AP-GI%C3%81-R%E1%BA%BA-T%E1%BA%ACN-X%C6%AF%E1%BB%9ENG-i.262803254.7660476085?sp_atk=04a820ab-b277-42b5-8821-88548486ee3f&xptdk=04a820ab-b277-42b5-8821-88548486ee3f
Áo polo nam cao cấp. cổ bẻ vải cá sấu cực đẹp size VNXK. mẫu polo phối mới hot trend,75.600 - 129.000,114,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-cao-c%E1%BA%A5p-c%E1%BB%95-b%E1%BA%BB-v%E1%BA%A3i-c%C3%A1-s%E1%BA%A5u-c%E1%BB%B1c-%C4%91%E1%BA%B9p-size-VNXK-m%E1%BA%ABu-polo-ph%E1%BB%91i-m%E1%BB%9Bi-hot-trend-i.408746388.18344597506?sp_atk=38921d67-63b1-417d-9197-d23010ffde4d&xptdk=38921d67-63b1-417d-9197-d23010ffde4d
Áo polo nam. áo thun nam ngắn tay cổ bẻ thêu gấu (sỉ lẻ),78.000 - 85.000,10,03/12/2022,https://shopee.vn/%C3%81o-polo-nam-%C3%A1o-thun-nam-ng%E1%BA%AFn-tay-c%E1%BB%95-b%E1%BA%BB-th%C3%AAu-g%E1%BA%A5u-(s%E1%BB%89-l%E1%BA%BB)-i.912430.15261210647?sp_atk=c387ad49-4ed7-4cb0-b41f-e0c73258a924&xptdk=c387ad49-4ed7-4cb0-b41f-e0c73258a924
